"DSQTCAFF.Code.or.Value","DSQTCAFF.Value.Description","DSQTCAFF.Count","DSQTCAFF.Cumulative","DSQTCAFF.Skip.to.Item"
"13.3 to 400","Range of Values",11,11,NA
".","Missing",10526,10537,NA
