"BIXC016K.Code.or.Value","BIXC016K.Value.Description","BIXC016K.Count","BIXC016K.Cumulative","BIXC016K.Skip.to.Item"
"21.34 to 513.25","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
