"DSD070.Code.or.Value","DSD070.Value.Description","DSD070.Count","DSD070.Cumulative","DSD070.Skip.to.Item"
"1","Yes",8317,8317,NA
"2","No",1195,9512,NA
".","Missing",47,9559,NA
