"BAXFTC11.Code.or.Value","BAXFTC11.Value.Description","BAXFTC11.Count","BAXFTC11.Cumulative","BAXFTC11.Skip.to.Item"
"3 to 10","Range of Values",4,4,NA
".","Missing",1007,1011,NA
