"HIQ011.Code.or.Value","HIQ011.Value.Description","HIQ011.Count","HIQ011.Cumulative","HIQ011.Skip.to.Item"
"1","Yes",8157,8157,""
"2","No",1072,9229,"HIQ065"
"7","Refused",7,9236,"HIQ065"
"9","Don't know",18,9254,"HIQ065"
".","Missing",0,9254,""
