"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1510,1510,""
"2","No",1935,3445,"BPD110a"
"7","Refused",0,3445,"BPD110a"
"9","Don't know",41,3486,"BPD110a"
".","Missing",2727,6213,""
