"OSQ120e.Code.or.Value","OSQ120e.Value.Description","OSQ120e.Count","OSQ120e.Cumulative","OSQ120e.Skip.to.Item"
"1","Yes",5,5,""
"2","No",7,12,"OSQ060"
"7","Refused",0,12,"OSQ060"
"9","Don't know",0,12,"OSQ060"
".","Missing",3803,3815,""
