"AUDTYL70.Code.or.Value","AUDTYL70.Value.Description","AUDTYL70.Count","AUDTYL70.Cumulative","AUDTYL70.Skip.to.Item"
"0 to 1.72","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
