"DXXTATA.Code.or.Value","DXXTATA.Value.Description","DXXTATA.Count","DXXTATA.Cumulative","DXXTATA.Skip.to.Item"
"38.75 to 1210.84","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
