"WTSHM14.Code.or.Value","WTSHM14.Value.Description","WTSHM14.Count","WTSHM14.Cumulative","WTSHM14.Skip.to.Item"
"0.0000000 to 756202.1517100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
