"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"1.32 to 10000","Range of Values",2436,2436,NA
".","Missing",3467,5903,NA
