"WBXA104.Code.or.Value","WBXA104.Value.Description","WBXA104.Count","WBXA104.Cumulative","WBXA104.Skip.to.Item"
"-7.6111 to 0.9933","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
