"RFXT080.Code.or.Value","RFXT080.Value.Description","RFXT080.Count","RFXT080.Cumulative","RFXT080.Skip.to.Item"
"690 to 699","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
