"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",280,280,NA
"2","No",801,1081,NA
"7","Refused",0,1081,NA
"9","Don't know",0,1081,NA
".","Missing",2944,4025,NA
