"DXXNKBMD.Code.or.Value","DXXNKBMD.Value.Description","DXXNKBMD.Count","DXXNKBMD.Cumulative","DXXNKBMD.Skip.to.Item"
"0.386 to 1.361","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
