"DS2TNIAC.Code.or.Value","DS2TNIAC.Value.Description","DS2TNIAC.Count","DS2TNIAC.Cumulative","DS2TNIAC.Skip.to.Item"
"0 to 2020","Range of Values",1687,1687,NA
".","Missing",8075,9762,NA
