"MPQ020.Code.or.Value","MPQ020.Value.Description","MPQ020.Count","MPQ020.Cumulative","MPQ020.Skip.to.Item"
"1","Yes",1366,1366,NA
"2","No",978,2344,NA
"7","Refused",0,2344,NA
"9","Don't know",5,2349,NA
".","Missing",2692,5041,NA
