"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",6497,6497,NA
"2","Spanish",639,7136,NA
".","Missing",3212,10348,NA
