"LBXTST.Code.or.Value","LBXTST.Value.Description","LBXTST.Count","LBXTST.Cumulative","LBXTST.Skip.to.Item"
"0.25 to 2543.99","Range of Values",6826,6826,NA
".","Missing",995,7821,NA
