"DTD180Q.Code.or.Value","DTD180Q.Value.Description","DTD180Q.Count","DTD180Q.Cumulative","DTD180Q.Skip.to.Item"
"0 to 67","Range of Values",7841,7841,NA
"777","Refused",3,7844,NA
"999","Don't know",12,7856,NA
".","Missing",685,8541,NA
