"CVAVEST.Code.or.Value","CVAVEST.Value.Description","CVAVEST.Count","CVAVEST.Cumulative","CVAVEST.Skip.to.Item"
"1","Yes",43,43,NA
"2","No",1307,1350,NA
"7","Refused",0,1350,NA
".","Missing",3252,4602,NA
