"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",17,17,NA
"2","Years",26,43,NA
"7","Refused",0,43,NA
"9","Don't know",0,43,NA
".","Missing",3521,3564,NA
