"DSDACTSS.Code.or.Value","DSDACTSS.Value.Description","DSDACTSS.Count","DSDACTSS.Cumulative","DSDACTSS.Skip.to.Item"
"0.04 to 96","Range of Values",8085,8085,NA
".","Missing",200,8285,NA
