"MCQ170M.Code.or.Value","MCQ170M.Value.Description","MCQ170M.Count","MCQ170M.Cumulative","MCQ170M.Skip.to.Item"
"1","Yes",445,445,NA
"2","No",144,589,NA
"7","Refused",0,589,NA
"9","Don't know",19,608,NA
".","Missing",9501,10109,NA
