"BIXS806K.Code.or.Value","BIXS806K.Value.Description","BIXS806K.Count","BIXS806K.Cumulative","BIXS806K.Skip.to.Item"
"42.19 to 1005.03","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
