"DXXL4BMD.Code.or.Value","DXXL4BMD.Value.Description","DXXL4BMD.Count","DXXL4BMD.Cumulative","DXXL4BMD.Skip.to.Item"
"0.444 to 2.025","Range of Values",6192,6192,NA
".","Missing",1542,7734,NA
