"OPDUSDD.Code.or.Value","OPDUSDD.Value.Description","OPDUSDD.Count","OPDUSDD.Cumulative","OPDUSDD.Skip.to.Item"
"0","No",2032,2032,NA
"1","Yes",387,2419,NA
".","Missing",515,2934,NA
