"DRD370LQ.Code.or.Value","DRD370LQ.Value.Description","DRD370LQ.Count","DRD370LQ.Cumulative","DRD370LQ.Skip.to.Item"
"1 to 7","Range of Values",35,35,NA
".","Missing",9778,9813,NA
