"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.03 to 5.7","Range of Values",2276,2276,NA
".","Missing",271,2547,NA
