"DXXSATA.Code.or.Value","DXXSATA.Value.Description","DXXSATA.Count","DXXSATA.Cumulative","DXXSATA.Skip.to.Item"
"19.94 to 1091.96","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
