"URDCOTLC.Code.or.Value","URDCOTLC.Value.Description","URDCOTLC.Count","URDCOTLC.Cumulative","URDCOTLC.Skip.to.Item"
"0","At or above detection limit",2291,2291,NA
"1","Below lower detection limit",44,2335,NA
".","Missing",127,2462,NA
