"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"40.2 to 175","Range of Values",8672,8672,NA
".","Missing",1278,9950,NA
