"DRQ350IQ.Code.or.Value","DRQ350IQ.Value.Description","DRQ350IQ.Count","DRQ350IQ.Cumulative","DRQ350IQ.Skip.to.Item"
"1 to 15","Range of Values",224,224,NA
".","Missing",9058,9282,NA
