"URDSMMLC.Code.or.Value","URDSMMLC.Value.Description","URDSMMLC.Count","URDSMMLC.Cumulative","URDSMMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2598,2598,NA
".","Missing",158,2756,NA
