"DXXINA.Code.or.Value","DXXINA.Value.Description","DXXINA.Count","DXXINA.Cumulative","DXXINA.Skip.to.Item"
"7.53 to 34.18","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
