"DSQTCARB.Code.or.Value","DSQTCARB.Value.Description","DSQTCARB.Count","DSQTCARB.Cumulative","DSQTCARB.Skip.to.Item"
"0.001 to 52.2667","Range of Values",1691,1691,NA
".","Missing",8280,9971,NA
