"LBDOD1LC.Code.or.Value","LBDOD1LC.Value.Description","LBDOD1LC.Count","LBDOD1LC.Cumulative","LBDOD1LC.Skip.to.Item"
"0","At or above the detection limit",2782,2782,NA
"1","Below lower detection limit",0,2782,NA
".","Missing",1546,4328,NA
