"DXXPEBMC.Code.or.Value","DXXPEBMC.Value.Description","DXXPEBMC.Count","DXXPEBMC.Cumulative","DXXPEBMC.Skip.to.Item"
"48.66 to 629.44","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
