"URXOPP.Code.or.Value","URXOPP.Value.Description","URXOPP.Count","URXOPP.Cumulative","URXOPP.Skip.to.Item"
"0.07 to 20.2","Range of Values",2525,2525,NA
".","Missing",87,2612,NA
