"LBDBR66C.Code.or.Value","LBDBR66C.Value.Description","LBDBR66C.Count","LBDBR66C.Cumulative","LBDBR66C.Skip.to.Item"
"0","At or above the detection limit",148,148,NA
"1","Below lower detection limit",153,301,NA
".","Missing",0,301,NA
