"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"1 to 12","Range of Values",4071,4071,NA
"13","13 pounds or more",4,4075,NA
"7777","Refused",1,4076,NA
"9999","Don't know",131,4207,NA
".","Missing",2,4209,NA
