"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0 to 15.9","Range of Values",8250,8250,NA
".","Missing",1057,9307,NA
