"DR1ICALC.Code.or.Value","DR1ICALC.Value.Description","DR1ICALC.Count","DR1ICALC.Cumulative","DR1ICALC.Skip.to.Item"
"0 to 3661","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
