"DR2IVARA.Code.or.Value","DR2IVARA.Value.Description","DR2IVARA.Count","DR2IVARA.Cumulative","DR2IVARA.Skip.to.Item"
"0 to 14514","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
