"WHQ090.Code.or.Value","WHQ090.Value.Description","WHQ090.Count","WHQ090.Cumulative","WHQ090.Skip.to.Item"
"1","Yes",2094,2094,""
"2","No",3927,6021,"WHD110"
"7","Refused",7,6028,"WHD110"
"9","Don't know",11,6039,"WHD110"
".","Missing",5,6044,""
