"LBXCBC.Code.or.Value","LBXCBC.Value.Description","LBXCBC.Count","LBXCBC.Cumulative","LBXCBC.Skip.to.Item"
"0.7 to 13.6","Range of Values",4025,4025,NA
"0.49","Fill Value of Limit of Detection",4334,8359,NA
".","Missing",903,9262,NA
