"DSDACTSS.Code.or.Value","DSDACTSS.Value.Description","DSDACTSS.Count","DSDACTSS.Cumulative","DSDACTSS.Skip.to.Item"
"0.05 to 30","Range of Values",8070,8070,NA
".","Missing",199,8269,NA
