"DXXOFBMC.Code.or.Value","DXXOFBMC.Value.Description","DXXOFBMC.Count","DXXOFBMC.Cumulative","DXXOFBMC.Skip.to.Item"
"5.88 to 74.27","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
