"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",1748,1748,NA
"1","Below lower detection limit",372,2120,NA
".","Missing",203,2323,NA
