"DUQ300.Code.or.Value","DUQ300.Value.Description","DUQ300.Count","DUQ300.Cumulative","DUQ300.Skip.to.Item"
"12 to 40","Range of Values",79,79,NA
"77","Refused",0,79,NA
"99","Don't know",0,79,NA
".","Missing",3206,3285,NA
