"CIQP64.Code.or.Value","CIQP64.Value.Description","CIQP64.Count","CIQP64.Cumulative","CIQP64.Skip.to.Item"
"0 to 75","Range of Values",15,15,NA
"777","Refused",0,15,NA
"999","Don't know",0,15,NA
".","Missing",763,778,NA
