"DS2ACTSS.Code.or.Value","DS2ACTSS.Value.Description","DS2ACTSS.Count","DS2ACTSS.Cumulative","DS2ACTSS.Skip.to.Item"
"0.05 to 18","Range of Values",5587,5587,NA
"999","Don't know",0,5587,NA
".","Missing",112,5699,NA
