"HUQ080.Code.or.Value","HUQ080.Value.Description","HUQ080.Count","HUQ080.Cumulative","HUQ080.Skip.to.Item"
"1 to 12","Range of Values",1070,1070,NA
"77777","Refused",0,1070,NA
"99999","Don't know",1,1071,NA
".","Missing",9968,11039,NA
