"DS1TFDFE.Code.or.Value","DS1TFDFE.Value.Description","DS1TFDFE.Count","DS1TFDFE.Cumulative","DS1TFDFE.Skip.to.Item"
"10.6 to 7024.4","Range of Values",1850,1850,NA
".","Missing",8403,10253,NA
