"URXUPT.Code.or.Value","URXUPT.Value.Description","URXUPT.Count","URXUPT.Cumulative","URXUPT.Skip.to.Item"
"0.03 to 73.43","Range of Values",2465,2465,NA
".","Missing",82,2547,NA
