"SSGII3OM.Code.or.Value","SSGII3OM.Value.Description","SSGII3OM.Count","SSGII3OM.Cumulative","SSGII3OM.Skip.to.Item"
"0.021 to 3.5","Range of Values",1036,1036,NA
".","Missing",0,1036,NA
