"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"10.4 to 59.4","Range of Values",9301,9301,NA
".","Missing",512,9813,NA
