"LBXHIV1.Code.or.Value","LBXHIV1.Value.Description","LBXHIV1.Count","LBXHIV1.Cumulative","LBXHIV1.Skip.to.Item"
"1","Reactive",16,16,NA
"2","Non-reactive",1,17,NA
"3","Indeterminate",0,17,NA
".","Missing",3909,3926,NA
