"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 360","Range of Values",4650,4650,NA
"777","Refused",0,4650,NA
"999","Don't know",2,4652,NA
".","Missing",1407,6059,NA
