"WTSPH30.Code.or.Value","WTSPH30.Value.Description","WTSPH30.Count","WTSPH30.Cumulative","WTSPH30.Skip.to.Item"
"0 to 806226.47957","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
