"LBCF04LA.Code.or.Value","LBCF04LA.Value.Description","LBCF04LA.Count","LBCF04LA.Cumulative","LBCF04LA.Skip.to.Item"
"0.121 to 9.82","Range of Values",247,247,NA
".","Missing",17,264,NA
