"DR1IFOLA.Code.or.Value","DR1IFOLA.Value.Description","DR1IFOLA.Count","DR1IFOLA.Cumulative","DR1IFOLA.Skip.to.Item"
"0 to 3709","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
