"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2695,2695,NA
"1","Below lower detection limit",54,2749,NA
".","Missing",70,2819,NA
