"RDQ135.Code.or.Value","RDQ135.Value.Description","RDQ135.Count","RDQ135.Cumulative","RDQ135.Skip.to.Item"
"1","Not at all,",778,778,NA
"2","A little,",329,1107,NA
"3","A fair amount,",110,1217,NA
"4","A moderate amount, or",47,1264,NA
"5","A lot?",66,1330,NA
"7","Refused",0,1330,NA
"9","Don't know",0,1330,NA
".","Missing",8492,9822,NA
